gesture,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
is,0,0,0,-0.094115571,-0.08210118,-0.038208489,-0.179628833,-0.210943172,-0.075501555,-0.215952321,-0.326452564,-0.116160726,-0.148721904,-0.333139723,-0.156296282,-0.085849917,-0.535316208,-0.051333949,-0.111410834,-0.760072153,-0.098417748,-0.132286089,-0.88807313,-0.125010321,-0.146730524,-1,-0.147447735,-0.003817759,-0.547995455,-0.063203284,-0.104015438,-0.537946526,-0.135620989,-0.116694685,-0.358574515,-0.144838241,-0.097847053,-0.265901198,-0.135359991,0.0653429168955415,-0.500375515,-0.080290757,-0.04614567,-0.418333585,-0.14385959,-0.05140492,-0.255873682,-0.122942175,-0.031163128,-0.186054318,-0.093707902,0.12406541020635585,-0.416188361,-0.103141983,0.026373726286225734,-0.32723218,-0.14239206,-0.003734184,-0.203153949,-0.12842041,-0.004348937,-0.139774069,-0.10722358
is,0,0,0,-0.098637074,-0.088569278,-0.036125011,-0.178564039,-0.216367684,-0.072142205,-0.212365328,-0.323422818,-0.11250271,-0.148513898,-0.328698995,-0.152459135,-0.081514658,-0.537986898,-0.045338322,-0.109082301,-0.759069163,-0.092323903,-0.132012607,-0.890328114,-0.118800106,-0.149254353,-1,-0.140526355,-0.001360958,-0.550028642,-0.058831384,-0.105575741,-0.531511075,-0.131901036,-0.118664296,-0.350547539,-0.140608951,-0.097429225,-0.261765314,-0.12972181,0.065419544407123,-0.501165401,-0.077847237,-0.048777414,-0.412273979,-0.14025582,-0.053055657,-0.252697866,-0.117939477,-0.029814858,-0.192064011,-0.087207289,0.12130079952334061,-0.414265368,-0.102737307,0.023587415527367362,-0.321497608,-0.138416136,-0.002209782,-0.206922047,-0.121931294,0.0035246902556677496,-0.157284365,-0.098947459
is,0,0,0,-0.104030034,-0.072773861,-0.047029595,-0.194525622,-0.187755459,-0.090095321,-0.239387918,-0.308029292,-0.13452304,-0.17474751,-0.32761673,-0.177752579,-0.10716605,-0.53233897,-0.061192509,-0.136416344,-0.75568594,-0.116301823,-0.159030832,-0.88700695,-0.150288969,-0.173662344,-1,-0.176909266,-0.027178827,-0.548225774,-0.069078137,-0.126860794,-0.536853635,-0.149263043,-0.139675786,-0.357572365,-0.163980811,-0.1249232,-0.254495077,-0.15686474,0.04131559767658916,-0.504734102,-0.082854639,-0.069357992,-0.41960616,-0.151556386,-0.073296968,-0.255531398,-0.13201838,-0.055261833,-0.175693961,-0.102140596,0.09976678787756352,-0.422702948,-0.103214952,0.0016699865646266916,-0.32868882,-0.146232776,-0.025023439,-0.203736078,-0.133689439,-0.02423646,-0.140176754,-0.112035507
is,0,0,0,-0.096743579,-0.085454856,-0.038395205,-0.17762525,-0.214009702,-0.075193861,-0.212619349,-0.323675048,-0.115618325,-0.151253431,-0.332948814,-0.155718017,-0.083308653,-0.533856208,-0.04932136,-0.111811343,-0.756767458,-0.097711012,-0.134661799,-0.889003237,-0.125139457,-0.150859831,-1,-0.147474916,-0.002228085,-0.546755288,-0.061391504,-0.107516256,-0.529969365,-0.135501811,-0.119440858,-0.350937468,-0.144486908,-0.096565101,-0.263381304,-0.134024032,0.06498366860805424,-0.499710291,-0.079130995,-0.049807622,-0.415595669,-0.142848673,-0.054190366,-0.257964749,-0.120655305,-0.030658793,-0.196883668,-0.090079374,0.12118369784445564,-0.415201726,-0.102874975,0.022274184678664707,-0.323510871,-0.140157763,-0.003469455,-0.208556847,-0.124503931,0.0024920207913611504,-0.157556669,-0.102095277
is,0,0,0,-0.099869628,-0.077178434,-0.043929028,-0.188518391,-0.198224915,-0.084869542,-0.228680236,-0.318697036,-0.12767317,-0.162960652,-0.334114525,-0.169511614,-0.098421041,-0.536018815,-0.058499942,-0.126786831,-0.758184625,-0.111104238,-0.150213,-0.88730357,-0.143054739,-0.166351568,-1,-0.168688672,-0.018380279,-0.55104351,-0.067828434,-0.117802215,-0.540503068,-0.145099103,-0.131265207,-0.362370034,-0.158055477,-0.115993538,-0.265059132,-0.150494194,0.04997380999516648,-0.50734728,-0.082784186,-0.061166327,-0.423908896,-0.149106054,-0.065738667,-0.261101116,-0.128714772,-0.046590085,-0.187044982,-0.099248022,0.10860685509008011,-0.425951549,-0.104169959,0.009583590245097409,-0.33286313,-0.145728794,-0.01753924,-0.207710601,-0.132445441,-0.015905007,-0.145838614,-0.11092791
is,0,0,0,-0.097528395,-0.081886669,-0.037583327,-0.184454254,-0.209915176,-0.073470949,-0.222883848,-0.321486865,-0.112860019,-0.161148912,-0.33432715,-0.151767715,-0.092834693,-0.539741136,-0.047341204,-0.121162557,-0.758375126,-0.094574108,-0.143862813,-0.888758233,-0.121198416,-0.159623214,-1,-0.143111338,-0.013333584,-0.552746657,-0.059517411,-0.116425117,-0.539376156,-0.132155919,-0.12932264,-0.358898868,-0.141598236,-0.108128038,-0.269490882,-0.131636843,0.05494371789571345,-0.506335028,-0.077173707,-0.059308119,-0.423235707,-0.141170388,-0.064101624,-0.262506395,-0.119883267,-0.040703435,-0.200002858,-0.089771407,0.11324257964910879,-0.421480029,-0.100509579,0.011897081692263426,-0.332742356,-0.138515355,-0.013170345,-0.210688942,-0.122714721,-0.005543095,-0.155008445,-0.09991021
is,0,0,0,-0.095974205,-0.079037726,-0.039538713,-0.183696648,-0.202155184,-0.077842608,-0.224318667,-0.315004558,-0.11895648,-0.160458941,-0.33321572,-0.159369504,-0.092323127,-0.539833814,-0.05200296,-0.12208374,-0.76096794,-0.099908392,-0.144003156,-0.889756654,-0.127611566,-0.159020237,-1,-0.150219646,-0.013036443,-0.552374203,-0.063131682,-0.11484992,-0.537109129,-0.136875614,-0.127978396,-0.356992743,-0.148113031,-0.108681782,-0.260480393,-0.139192179,0.05425467893993443,-0.505654999,-0.079387407,-0.060374114,-0.417782383,-0.143498569,-0.063904984,-0.258587241,-0.123202732,-0.040915133,-0.190720018,-0.093795493,0.11080074475067606,-0.421020965,-0.101430863,0.009138681569762924,-0.329248658,-0.140726619,-0.015119378,-0.204755322,-0.125566657,-0.008300878,-0.143011115,-0.102727221
is,0,0,0,-0.09730217,-0.077568727,-0.043548671,-0.184510031,-0.200127917,-0.08511383,-0.222540618,-0.318277158,-0.128777753,-0.155886057,-0.3297719,-0.171725285,-0.09218459,-0.53781757,-0.058420537,-0.119727011,-0.758424016,-0.1100884,-0.142581921,-0.888192432,-0.141137789,-0.158122002,-1,-0.16620902,-0.011972405,-0.551747048,-0.06827652,-0.111754973,-0.537565737,-0.144249616,-0.124533852,-0.359576063,-0.156264544,-0.107244249,-0.264719113,-0.14824474,0.05639594907389445,-0.505274829,-0.083688671,-0.055802406,-0.421046275,-0.149085116,-0.061040695,-0.260770686,-0.128127769,-0.041061488,-0.190948926,-0.098538149,0.11509419874121174,-0.421404953,-0.105447223,0.01544592761355314,-0.332933028,-0.14559628,-0.012277074,-0.209993225,-0.130836463,-0.010028851,-0.149723344,-0.108514656
is,0,0,0,-0.097113573,-0.075917364,-0.040749701,-0.187586868,-0.19554953,-0.079512646,-0.229597154,-0.307300112,-0.121034489,-0.166965026,-0.327143377,-0.161725463,-0.099984784,-0.531209769,-0.053577999,-0.129058446,-0.756720802,-0.102569789,-0.150589363,-0.887793727,-0.130127145,-0.165209509,-1,-0.152670438,-0.020096,-0.545072812,-0.064678966,-0.122521134,-0.536188067,-0.140491881,-0.135333249,-0.356136855,-0.151815617,-0.114879415,-0.260571696,-0.142674248,0.04805245239269854,-0.500133844,-0.081193442,-0.066902054,-0.418329382,-0.147859287,-0.068921386,-0.257793884,-0.127417662,-0.044253652,-0.190173615,-0.097489024,0.10662162039621177,-0.417375776,-0.103510507,0.0033928552470262057,-0.326036836,-0.144715364,-0.019281838,-0.202899695,-0.130143122,-0.010831464,-0.143940619,-0.107607606
is,0,0,0,-0.09607472,-0.084118316,-0.039421755,-0.178887726,-0.208062877,-0.07757349,-0.218482569,-0.316484444,-0.118978246,-0.156586676,-0.330168616,-0.159796684,-0.087233876,-0.535037101,-0.051881016,-0.114797407,-0.756266439,-0.100762039,-0.13750088,-0.888495439,-0.127814865,-0.153028693,-1,-0.149581818,-0.006263409,-0.547810743,-0.063239374,-0.110086476,-0.533639671,-0.135735739,-0.124295002,-0.355587153,-0.143545223,-0.102678313,-0.271420573,-0.132598526,0.062110150574359854,-0.499768942,-0.080240515,-0.05228084,-0.414696515,-0.14303895,-0.059432471,-0.259527304,-0.120038858,-0.036709514,-0.202925495,-0.089244394,0.11940905715425462,-0.413942342,-0.103254076,0.01982509849896568,-0.325650806,-0.139810177,-0.00840737,-0.207371494,-0.122727441,-0.003532441,-0.153387465,-0.099306983
